id,start_time,end_time,length,removed_from_corpus,changed,new_name,new_start,new_end,Explanation,r1,a1,r2,a2,speaker_1,speaker_1_gender,speaker_1_role,speaker_2,speaker_2_gender,speaker_2_role,mean_score,Text,Dash
116_Breyer_Crouse_KahlervKansas,2251.92,2253.32,1.4,,,,,,,30,10,7,31,Breyer,m,j,Crouse,m,a,18.5, You're -- you're telling me -- ,TRUE
47_Roberts_Kavanaugh_VAvGolden,1315.16,1316.56,1.4,1,,,,,formal turn change,,,,,,,,,,,, Thank you -- ,TRUE
36_Schrup_Roberts_KahlervKansas,864.28,865.72,1.44,,,,,,,18,10,0,31,Schrup,f,a,Roberts,m,j,9, But that he -- ,TRUE
36_Roberts_Schrup_KahlervKansas,864.28,865.72,1.44,,1,36_Schrup_Roberts_KahlervKansas,,865.7,name change,,,,,,,,,,,, But that he -- ,TRUE
42_Schrup_Alito_KahlervKansas,936,937.56,1.56,,,,,,,10,8,31,9,Schrup,f,a,Alito,m,j,20.5," Well, he had the -- ",TRUE
138_Kagan_Alito_KahlervKansas,2451.48,2453.04,1.56,,,,,,,14,9,5,70,Kagan,f,j,Alito,m,j,9.5," Well, has that -- ",TRUE
170_Sotomayor_Clement_VAvGolden,3538.24,3539.8,1.56,,,,,,,52,15,0,23,Sotomayor,f,j,Clement,f,a,26, So every -- ,TRUE
138_Alito_Kagan_KahlervKansas,2451.48,2453.04,1.56,,1,138_Kagan_Alito_KahlervKansas,,,name change,,,,,,,,,,,," Well, has that -- ",TRUE
42_Alito_Schrup_KahlervKansas,936,937.56,1.56,,1,42_Schrup_Alito_KahlervKansas,,,name change,,,,,,,,,,,," Well, he had the -- ",TRUE
201_Prelogar_Sotomayor_KahlervKansas,3329.88,3331.52,1.64,,,,,,,17,8,18,64,Prelogar,f,a,Sotomayor,f,j,17.5, How does that stay -- ,TRUE
201_Sotomayor_Prelogar_KahlervKansas,3329.88,3331.52,1.64,,1,201_Prelogar_Sotomayor_KahlervKansas,,,name change,,,,,,,,,,,, How does that stay -- ,TRUE
174_Sotomayor_Kavanaugh_MitchellvWisconsin,2509.2,2510.88,1.68,,,,,,,47,64,44,75,Sotomayor,f,j,Kavanaugh,m,j,45.5, Could you have an issue -- ,TRUE
143_Kavanaugh_Crouse_KahlervKansas,2467.6,2469.32,1.72,,1,143_Crouse_Kavanaugh_KahlervKansas,,,name change,,,,,,,,,,,," Well, on the -- ",TRUE
85_Hinkel_Roberts_MitchellvWisconsin,1214.52,1216.24,1.72,1,,,,,inaudible second speaker,,,,,,,,,,,, But there -- ,TRUE
232_Unikowsky_Breyer_WAvCoug,2181.16,2182.92,1.76,,,,,,,12,14,11,42,Unikowsky,m,a,Breyer,m,j,11.5, I don't see a different between marijuana -- ,TRUE
50_Schrup_Kavanaugh_KahlervKansas,1117.8,1119.56,1.76,,,,,,,50,4,24,8,Schrup,f,a,Kavanaugh,m,j,37, Well -- ,TRUE
50_Kavanaugh_Schrup_KahlervKansas,1117.8,1119.56,1.76,,1,50_Schrup_Kavanaugh_KahlervKansas,,,name change,,,,,,,,,,,, Well -- ,TRUE
174_Ginsburg_Clement_VAvGolden,3574.88,3576.72,1.84,,,,,,,0,32,0,76,Ginsburg,f,j,Clement,f,a,0, It hasn't been cited -- ,TRUE
130_Crouse_Gorsuch_KahlervKansas,2388.8,2390.72,1.92,1,,,,,duplicate of next turn,,,,,,,,,,,, I -- ,TRUE
216_Kagan_Unikowsky_WAvCoug,2141.88,2143.84,1.96,,,,,,,0,43,0,56,Kagan,f,j,Unikowsky,m,a,0, Enter is a -- ,TRUE
206_Ginsburg_Jurss_MitchellvWisconsin,2995.88,2997.88,2,,,,,,,34,50,19,55,Ginsburg,f,j,Jurss,f,a,26.5, Suppose -- ,TRUE
220_Schrup_Alito_KahlervKansas,3609.72,3611.76,2.04,,,,,,,32,62,46,65,Schrup,f,a,Alito,m,j,39," It would, with the exception of -- ",TRUE
203_Breyer_Unikowsky_WAvCoug,2089.72,2091.76,2.04,,,,,,,35,52,99,58,Breyer,m,j,Unikowsky,m,a,67, Our position is not based on the fact that it's -- ,TRUE
203_Unikowsky_Breyer_WAvCoug,2089.72,2091.76,2.04,,1,203_Breyer_Unikowsky_WAvCoug,,,name change,,,,,,,,,,,, Our position is not based on the fact that it's -- ,TRUE
223_Alito_Schrup_KahlervKansas,3614.52,3616.56,2.04,1,,,,,no turn change,,,,,,,,,,,, -- to the person who said I assassinated this political leader because he is an evil person -- ,TRUE
110_Heytens_Breyer_VAvGolden,2351.16,2353.24,2.08,,,,,,,0,18,18,71,Heytens,f,a,Breyer,m,j,9," And -- and, Justice Breyer, to return to your -- ",TRUE
16_Alito_Kavanaugh_KahlervKansas,413.68,415.76,2.08,,,,,,,32,9,15,70,Alito,m,j,Kavanaugh,m,j,23.5, If the -- ,TRUE
83_Purcell_Gorsuch_WAvCoug,921.76,923.84,2.08,,,,,,,60,24,100,32,Purcell,m,a,Gorsuch,m,j,80, Fair -- ,TRUE
175_Kavanaugh_Sotomayor_MitchellvWisconsin,2510.24,2512.36,2.12,1,,,,,inaudible second speaker,,,,,,,,,,,, That one of the -- ,TRUE
65_Hinkel_Breyer_MitchellvWisconsin,904.52,906.64,2.12,1,,,,,inaudible second speaker,,,,,,,,,,,," No, there's no reason that there can't be more than one blood draw. It doesn't have to interfere with medical care. And, in fact -- ",TRUE
186_Kavanaugh_Jurss_MitchellvWisconsin,2654.12,2656.28,2.16,,,,,,,100,56,72,60,Kavanaugh,m,j,Jurss,f,a,86, Because you're not transporting the person right away? Or at least just -- can you spell out -- ,TRUE
23_Kagan_Clement_VAvGolden,479.8,482,2.2,,,,,,,34,40,34,41,Kagan,f,j,Clement,f,a,34, Before you go to the alternative argument -- ,TRUE
214_Roberts_Jurss_MitchellvWisconsin,3099.72,3102,2.28,,,,,,,99,19,29,61,Roberts,m,j,Jurss,f,a,64," Well, that's the -- I mean, that's actually the question presented, is how to deal with an unconscious person. To what extent do you think the ability to withdraw the consent that was given, and -- I mean, call it implied consent, I'm not quite -- I don't quite understand why it's not consent if it's a condition -- ",TRUE
111_Crouse_Breyer_KahlervKansas,2188.52,2190.8,2.28,,1,,,2191.8,include next speaker,,,,,,,,,,,, So I -- I think that this Court's cases have historically allowed legislative -- ,TRUE
89_Purcell_Gorsuch_WAvCoug,938.12,940.44,2.32,,,,,,,37,61,50,34,Purcell,m,a,Gorsuch,m,j,43.5, Because none of the reasons you gave in those cases apply here -- ,TRUE
185_Kagan_Prelogar_KahlervKansas,3015.8,3018.12,2.32,,,,,,,,,,,,,,,,,," But, Ms. -- ",TRUE
186_Prelogar_Kagan_KahlervKansas,3016.28,3018.68,2.4,,,,,,,0,45,4,69,Prelogar,f,a,Kagan,f,j,2, Which would pull someone totally outside the realm of -- ,TRUE
92_Gorsuch_Purcell_WAvCoug,950.04,952.44,2.4,,,,,,,50,26,50,25,Gorsuch,m,j,Purcell,m,a,50, The next -- next concern would be then what do we do about the fact that this is also how the district court concluded it after very careful reading in Yakama Indian Nation about the history of the treaty -- ,TRUE
41_Hinkel_Breyer_MitchellvWisconsin,813.88,816.32,2.44,1,,,,,no turn change,,,,,,,,,,,," Well, certainly, you're supposed to get the person to the hospital. That's -- ",TRUE
229_Alito_Roberts_KahlervKansas,3667.8,3670.28,2.48,,,,,,,36,10,18,65,Alito,m,j,Roberts,m,j,27," I mean, these 18th Century cases that talk about moral capability or lack thereof in mens rea in the same breadth are hard to understand, but you have to take into account -- may I finish my sentence -- ",TRUE
148_Kagan_Elias_VAvGolden,3224.44,3226.92,2.48,,,,,,,78,42,72,61,Kagan,f,j,Elias,f,a,75," Could I make sure I understand what you're saying, Mr. Elias, because what I've -- what -- what I've understood is that the flexibility that Justice Kavanaugh is talking about is critical, and Alabama talked about this and Cooper talked about this, but it's critical at the -- it's -- it's not -- it's critical at the point where you ask whether the Voting Rights Act has provided a sufficient justification -- ",TRUE
216_Schrup_Alito_KahlervKansas,3603.88,3606.44,2.56,,,,,,,9,31,0,46,Schrup,f,a,Alito,m,j,4.5," If I'm understanding your question, Justice Alito, yes, mens rea, but mens rea historically or common law intent always contained this moral component, this -- ",TRUE
125_Kagan_Jurss_MitchellvWisconsin,1742.92,1745.64,2.72,,,,,,,82,25,49,35,Kagan,f,j,Jurss,f,a,65.5," Ms. Jurss, if I could, just to understand your argument, I mean, usually you're exactly right, that reasonableness is the core of the Fourth Amendment. But usually we say: Well, what's reasonable is you get a warrant -- ",TRUE
110_Adams_Breyer_WAvCoug,1102.28,1105.04,2.76,1,,,,,inaudible second speaker,,,,,,,,,,,," There -- there could be some restrictions,
Justice Breyer,
like -- ",TRUE
155_Crouse_Alito_KahlervKansas,2593.8,2596.64,2.84,1,,,,,inaudible second speaker,,,,,,,,,,,, I -- I -- I don't believe I was saying that -- ,TRUE
169_Roberts_Unikowsky_WAvCoug,1722.12,1725,2.88,,,,,,,35,19,67,42,Roberts,m,j,Unikowsky,m,a,51, Isn't that what's going on here? I thought -- ,TRUE
202_Sotomayor_Jurss_MitchellvWisconsin,2915.48,2918.4,2.92,,,,,,,89,42,100,72,Sotomayor,f,j,Jurss,f,a,94.5," Well, what Maryland v. King said was that an alcohol swab of your mouth -- ",TRUE
173_Jurss_Kavanaugh_MitchellvWisconsin,2507.2,2510.24,3.04,,,,,,,15,2,0,76,Jurss,f,a,Kavanaugh,m,j,7.5," I don't know for sure with every county, but I think the common -- the common practice is to have an on-call judge. But what -- an important -- ",TRUE
173_Jurss_Sotomayor_MitchellvWisconsin,2507.2,2510.24,3.04,,1,173_Jurss_Kavanaugh_MitchellvWisconsin,,,name change,,,,,,,,,,,," I don't know for sure with every county, but I think the common -- the common practice is to have an on-call judge. But what -- an important -- ",TRUE
171_Roberts_Unikowsky_WAvCoug,1726.24,1729.36,3.12,,,,,,,60,25,60,49,Roberts,m,j,Unikowsky,m,a,60," -- it was the owner -- I thought it was the owner of the fuel that is taxed,
not the -- ",TRUE
250_Unikowsky_Kavanaugh_WAvCoug,2353.56,2356.76,3.2,,,,,,,0,5,41,16,Unikowsky,m,a,Kavanaugh,m,j,20.5, So we -- we have a broader argument -- ,TRUE
157_Elias_Kavanaugh_VAvGolden,3262.08,3265.28,3.2,,,,,,,25,16,22,32,Elias,f,a,Kavanaugh,m,j,23.5, But they -- but they weren't -- ,TRUE
69_Ratner_Roberts_VAvGolden,1687.96,1691.16,3.2,,,,,,,42,27,29,44,Ratner,m,a,Roberts,m,j,35.5," Mr. Chief Justice, I would give the same response that I gave to Justice Alito before, which is, to the extent that that's really what we're talking about, there has to be some sort of evidentiary showing for those types of standing allegations. There's never been an affidavit put in or any evidence -- ",TRUE
93_Hinkel_Roberts_MitchellvWisconsin,1253.72,1256.92,3.2,,,,,,,100,54,100,61,Hinkel,m,a,Roberts,m,j,100," Because, again, when the state conditions, you know, participation in some activity on your consent to give up some part of your Fourth Amendment -- ",TRUE
294_Kavanaugh_Unikowsky_WAvCoug,3133.12,3136.4,3.28,,,,,,,71,49,67,63,Kavanaugh,m,j,Unikowsky,m,a,69," The language of the treaty does not distinguish, though -- ",TRUE
230_Unikowsky_Breyer_WAvCoug,2177.72,2181.16,3.44,,,,,,,0,16,0,56,Unikowsky,m,a,Breyer,m,j,0, I think if it was a tax on marijuana -- ,TRUE
239_Hinkel_Breyer_MitchellvWisconsin,3630.08,3633.96,3.88,,1,,,3632.96,Remove second turn change,,,,,,,,,,,, I disagree with -- ,TRUE
182_Prelogar_Sotomayor_KahlervKansas,2999.12,3003.04,3.92,,,,,,,22,64,9,69,Prelogar,f,a,Sotomayor,f,j,15.5, And our -- ,TRUE
110_Hinkel_Roberts_MitchellvWisconsin,1393.28,1397.32,4.04,1,,,,,no turn change,,,,,,,,,,,, I -- I -- ,TRUE
211_Jurss_Roberts_MitchellvWisconsin,3041.84,3045.92,4.08,,,,,,,13,35,0,72,Jurss,f,a,Roberts,m,j,6.5, Pretty good -- ,TRUE
136_Jurss_Kagan_MitchellvWisconsin,1876.24,1880.36,4.12,,,,,,,0,40,0,41,Jurss,f,a,Kagan,f,j,0, Not -- ,TRUE
133_Elias_Roberts_VAvGolden,2754.28,2758.4,4.12,,,,,,,34,2,31,59,Elias,f,a,Roberts,m,j,32.5, Well -- ,TRUE
168_Unikowsky_Roberts_WAvCoug,1720.04,1724.2,4.16,,,,,,,91,27,21,58,Unikowsky,m,a,Roberts,m,j,56," -- but the state -- yeah,
then I think that the -- ",TRUE
5_Clement_Sotomayor_VAvGolden,117.04,121.24,4.2,,,,,,,24,11,69,39,Clement,f,a,Sotomayor,f,j,46.5, It's not a -- ,TRUE
222_Schrup_Alito_KahlervKansas,3611.76,3616,4.24,,,,,,,0,8,10,31,Schrup,f,a,Alito,m,j,5, -- perhaps -- ,TRUE
113_Crouse_Breyer_KahlervKansas,2190.8,2195.04,4.24,,,,,,,24,31,6,64,Crouse,m,a,Breyer,m,j,15, -- bodies -- ,TRUE
145_Kavanaugh_Alito_KahlervKansas,2469.32,2473.56,4.24,,,,,,,,,,,,,,,,,, -- the history -- ,TRUE
198_Prelogar_Breyer_KahlervKansas,3207.08,3211.32,4.24,,,,,,,,,,,,,,,,,, -- think for this here -- ,TRUE
23_Purcell_Sotomayor_WAvCoug,199.28,203.56,4.28,,,,,,,39,12,0,13,Purcell,m,a,Sotomayor,f,j,19.5," Well, there's two crucial -- ",TRUE
82_Sotomayor_Ratner_VAvGolden,1882.72,1887,4.28,,,,,,,60,22,38,60,Sotomayor,f,j,Ratner,m,a,49, But they do -- ,TRUE
34_Clement_Breyer_VAvGolden,743.88,748.16,4.28,1,,,,,duplicate of previous turn ,,,,,,,,,,,, The -- the -- ,TRUE
61_Sotomayor_Kagan_VAvGolden,1464.44,1468.72,4.28,1,,,,,inaudible first speaker,,,,,,,,,,,, See -- ,TRUE
106_Adams_Breyer_WAvCoug,1091.48,1095.8,4.32,,,,,,,3,11,0,32,Adams,f,a,Breyer,m,j,1.5, There's -- there's an antidiscrimination rule built into -- ,TRUE
117_Crouse_Breyer_KahlervKansas,2252.96,2257.32,4.36,,,,,,,,,,,,,,,,,, Our -- our -- ,TRUE
192_Prelogar_Kagan_KahlervKansas,3092.24,3096.6,4.36,,,,,,,,,,,,,,,,,, -- for a moment -- ,TRUE
9_Schrup_Ginsburg_KahlervKansas,280,284.36,4.36,1,,,,,no turn change,,,,,,,,,,,, -- well -- ,TRUE
270_Kagan_Alito_WAvCoug,2688.6,2693,4.4,,,,,,,0,13,22,37,Kagan,f,j,Alito,m,j,11, Mr. Unikowsky -- ,TRUE
93_Purcell_Gorsuch_WAvCoug,952.04,956.44,4.4,,,,,,,0,18,41,52,Purcell,m,a,Gorsuch,m,j,20.5," Well, it's the -- ",TRUE
140_Alito_Kagan_KahlervKansas,2453.04,2457.44,4.4,,,,,,,,,,,,,,,,,, -- ever been -- ,TRUE
31_Sotomayor_Kagan_WAvCoug,240.84,245.24,4.4,1,,,,,no turn change,,,,,,,,,,,," Well, that -- ",TRUE
87_Crouse_Sotomayor_KahlervKansas,1655.32,1659.72,4.4,1,,,,,no turn change,,,,,,,,,,,, -- to have US -- ,TRUE
2_Roberts_Hinkel_MitchellvWisconsin,75.6,80.04,4.44,,,,,,,60,3,27,32,Roberts,m,j,Hinkel,m,a,43.5," Is it -- it doesn't strike me immediately as that horrendous to allow the officers to look, not through the cell phone, but to sort of calls, find out was this person calling somebody or talking to somebody at the time they, you know, ran over somebody else? Is that -- is that so obviously -- ",TRUE
99_Heytens_Breyer_VAvGolden,2303.88,2308.32,4.44,1,,,,,inaudible first speaker,,,,,,,,,,,, So -- ,TRUE
57_Kagan_Alito_VAvGolden,1436.12,1440.68,4.56,,,,,,,0,52,0,75,Kagan,f,j,Alito,m,j,0, But suppose -- ,TRUE
230_Hinkel_Kavanaugh_MitchellvWisconsin,3509.36,3513.92,4.56,,,,,,,8,41,8,40,Hinkel,m,a,Kavanaugh,m,j,8, The most extreme -- ,TRUE
105_Hinkel_Sotomayor_MitchellvWisconsin,1359.96,1364.52,4.56,,,,,,,,,,,,,,,,,, I -- I -- ,TRUE
124_Kavanaugh_Gorsuch_KahlervKansas,2338.28,2342.84,4.56,1,,,,,inaudible second speaker,,,,,,,,,,,, But the -- ,TRUE
209_Unikowsky_Breyer_WAvCoug,2122.6,2127.16,4.56,1,,,,,indistinguishable speakers,,,,,,,,,,,, -- taxable -- ,TRUE
214_Schrup_Alito_KahlervKansas,3568.12,3572.68,4.56,,,,,,,,,,,,,,,,,, That's half of our -- ,TRUE
53_Purcell_Gorsuch_WAvCoug,536.64,541.2,4.56,1,,,,,inaudible second speaker,,,,,,,,,,,, That's -- ,TRUE
95_Crouse_Sotomayor_KahlervKansas,1773.04,1777.6,4.56,,,,,,,,,,,,,,,,,, What I -- ,TRUE
103_Hinkel_Sotomayor_MitchellvWisconsin,1352.24,1356.84,4.6,,,,,,,21,4,0,39,Hinkel,m,a,Sotomayor,f,j,10.5, I think those -- I think -- ,TRUE
93_Heytens_Breyer_VAvGolden,2214.76,2219.4,4.64,,,,,,,0,44,0,66,Heytens,f,a,Breyer,m,j,0, I -- I don't -- ,TRUE
13_Clement_Ginsburg_VAvGolden,249.52,254.2,4.68,,,,,,,,,,,,,,,,,, I think that if -- ,TRUE
28_Clement_Sotomayor_VAvGolden,568.04,572.76,4.72,,,,,,,3,21,34,58,Clement,f,a,Sotomayor,f,j,18.5," Well, I -- I mean -- ",TRUE
258_Unikowsky_Roberts_WAvCoug,2505.08,2509.8,4.72,,,,,,,40,0,29,56,Unikowsky,m,a,Roberts,m,j,34.5," Well,
if you're referring to like taking the -- the fuel from the truck and putting it into a big tank off the reservation at the border, if that's the hypothetical -- ",TRUE
202_Prelogar_Sotomayor_KahlervKansas,3330.76,3335.52,4.76,,,,,,,30,31,68,45,Prelogar,f,a,Sotomayor,f,j,49, -- I think that these -- ,TRUE
219_Unikowsky_Breyer_WAvCoug,2144.24,2149.04,4.8,,,,,,,0,13,4,21,Unikowsky,m,a,Breyer,m,j,2," The taxpayer is ""the importer,"" and the state court -- ",TRUE
98_Sotomayor_Crouse_KahlervKansas,1795,1799.8,4.8,,,,,,,4,9,31,46,Sotomayor,f,j,Crouse,m,a,17.5," Well, I think there -- ",TRUE
175_Clement_Ginsburg_VAvGolden,3575.88,3580.72,4.84,,,,,,,0,13,42,49,Clement,f,a,Ginsburg,f,j,21, -- it's the same -- ,TRUE
285_Kavanaugh_Ginsburg_WAvCoug,2950.8,2955.64,4.84,,,,,,,0,32,41,49,Kavanaugh,m,j,Ginsburg,f,j,20.5," Counsel, do you -- ",TRUE
17_Kavanaugh_Alito_KahlervKansas,414.88,419.76,4.88,,,,,,,27,9,60,65,Kavanaugh,m,j,Alito,m,j,43.5, What's the answer -- ,TRUE
47_Hinkel_Breyer_MitchellvWisconsin,828.48,833.36,4.88,,,,,,,29,20,0,72,Hinkel,m,a,Breyer,m,j,14.5, If there's no -- ,TRUE
37_Schrup_Roberts_KahlervKansas,864.8,869.72,4.92,,1,,,,inaudible first spaker,0,8,50,31,Schrup,f,a,Roberts,m,j,25, But it doesn't -- ,TRUE
48_Kavanaugh_Roberts_VAvGolden,1315.64,1320.56,4.92,1,,,,,No turn change,,,,,,,,,,,, Mr. Clement -- ,TRUE
5_Purcell_Sotomayor_WAvCoug,50.64,55.6,4.96,,,,,,,50,22,100,56,Purcell,m,a,Sotomayor,f,j,75," Well, the treaty -- ",TRUE
185_Jurss_Kavanaugh_MitchellvWisconsin,2651.04,2656.12,5.08,,,,,,,0,38,40,65,Jurss,f,a,Kavanaugh,m,j,20, That's a -- ,TRUE
171_Clement_Sotomayor_VAvGolden,3538.68,3543.8,5.12,,,,,,,24,24,0,38,Clement,f,a,Sotomayor,f,j,12, As my friends on the other -- ,TRUE
16_Sotomayor_Alito_VAvGolden,290.72,295.84,5.12,,,,,,,41,14,39,63,Sotomayor,f,j,Alito,m,j,40," Mr. Clement, what are the -- ",TRUE
27_Purcell_Sotomayor_WAvCoug,216.36,221.48,5.12,,,,,,,81,11,25,43,Purcell,m,a,Sotomayor,f,j,53," At the market, yes, but -- but -- ",TRUE
199_Unikowsky_Breyer_WAvCoug,2078.28,2083.48,5.2,,,,,,,16,17,29,59,Unikowsky,m,a,Breyer,m,j,22.5," Yeah, so if you buy -- ",TRUE
107_Hinkel_Roberts_MitchellvWisconsin,1366.96,1372.16,5.2,,,,,,,50,23,35,22,Hinkel,m,a,Roberts,m,j,42.5," I agree with you, and that's why I think it's -- ",TRUE
70_Roberts_Ratner_VAvGolden,1689.96,1695.16,5.2,,,,,,,,,,,,,,,,,, I don't think it's in -- ,TRUE
161_Alito_Roberts_MitchellvWisconsin,2331.12,2336.48,5.36,,,,,,,37,39,11,73,Alito,m,j,Roberts,m,j,24, But is there a way -- ,TRUE
45_Hinkel_Breyer_MitchellvWisconsin,820.12,825.56,5.44,,,,,,,17,17,0,61,Hinkel,m,a,Breyer,m,j,8.5," Well, if you have evidence of a -- ",TRUE
180_Prelogar_Sotomayor_KahlervKansas,2976.08,2981.56,5.48,,,,,,,25,4,33,62,Prelogar,f,a,Sotomayor,f,j,29, But to the extent that what -- ,TRUE
3_Clement_Sotomayor_VAvGolden,111.48,117.04,5.56,,,,,,,45,25,0,61,Clement,f,a,Sotomayor,f,j,22.5," That's right, Justice Ginsburg, but I think particularly when you understand that the law at issue here has its object, one branch of the legislature, one house of the legislature, the House of Delegates, that that's exactly the right party to bring this particular case or to vindicate -- ",TRUE
63_Hinkel_Breyer_MitchellvWisconsin,896.68,902.44,5.76,,,,,,,41,4,23,27,Hinkel,m,a,Breyer,m,j,32," Again, I think, if the officer wants access to that -- to that blood as evidence, then he needs to either get a warrant or have the magistrate say -- ",TRUE
91_Hinkel_Roberts_MitchellvWisconsin,1238.24,1244.08,5.84,,,,,,,65,59,24,72,Hinkel,m,a,Roberts,m,j,44.5," I don't think it's okay, but you don't have to agree with me to -- ",TRUE
3_Hinkel_Roberts_MitchellvWisconsin,77.6,83.52,5.92,,,,,,,32,15,50,19,Hinkel,m,a,Roberts,m,j,41, I don't know that it's -- ,TRUE
235_Kavanaugh_Breyer_MitchellvWisconsin,3587.04,3592.96,5.92,,,,,,,33,0,0,61,Kavanaugh,m,j,Breyer,m,j,16.5, How many -- ,TRUE
